region,trips,time
region_1286,344.0,2016-06-01 03:00:00
region_1183,151.0,2016-06-01 03:00:00
region_1182,474.0,2016-06-01 03:00:00
region_1181,1112.0,2016-06-01 03:00:00
region_1180,602.0,2016-06-01 03:00:00
region_1179,578.0,2016-06-01 03:00:00
region_1178,292.0,2016-06-01 03:00:00
region_1177,128.0,2016-06-01 03:00:00
region_1176,25.0,2016-06-01 03:00:00
region_1175,8.0,2016-06-01 03:00:00
region_1174,34.0,2016-06-01 03:00:00
region_1184,20.0,2016-06-01 03:00:00
region_1172,7.0,2016-06-01 03:00:00
region_1131,186.0,2016-06-01 03:00:00
region_1130,320.0,2016-06-01 03:00:00
region_1129,417.0,2016-06-01 03:00:00
region_1128,256.0,2016-06-01 03:00:00
region_1127,305.0,2016-06-01 03:00:00
region_1126,172.0,2016-06-01 03:00:00
region_1125,82.0,2016-06-01 03:00:00
region_1077,142.0,2016-06-01 03:00:00
region_1076,166.0,2016-06-01 03:00:00
region_1075,54.0,2016-06-01 03:00:00
region_1132,78.0,2016-06-01 03:00:00
region_1221,2.0,2016-06-01 03:00:00
region_1287,106.0,2016-06-01 03:00:00
region_1223,7.0,2016-06-01 03:00:00
region_1222,5.0,2016-06-01 03:00:00
region_1284,123.0,2016-06-01 03:00:00
region_1283,304.0,2016-06-01 03:00:00
region_1282,794.0,2016-06-01 03:00:00
region_1281,819.0,2016-06-01 03:00:00
region_1280,287.0,2016-06-01 03:00:00
region_1279,61.0,2016-06-01 03:00:00
region_1278,20.0,2016-06-01 03:00:00
region_1274,6.0,2016-06-01 03:00:00
region_1273,6.0,2016-06-01 03:00:00
region_1272,7.0,2016-06-01 03:00:00
region_1285,377.0,2016-06-01 03:00:00
region_1224,25.0,2016-06-01 03:00:00
region_1234,485.0,2016-06-01 03:00:00
region_1233,533.0,2016-06-01 03:00:00
region_1232,697.0,2016-06-01 03:00:00
region_1231,867.0,2016-06-01 03:00:00
region_1230,745.0,2016-06-01 03:00:00
region_1229,500.0,2016-06-01 03:00:00
region_1228,284.0,2016-06-01 03:00:00
region_1227,111.0,2016-06-01 03:00:00
region_1225,4.0,2016-06-01 03:00:00
region_1235,220.0,2016-06-01 03:00:00
region_1382,31.0,2016-06-01 04:00:00
region_1383,379.0,2016-06-01 04:00:00
region_1384,538.0,2016-06-01 04:00:00
region_1385,351.0,2016-06-01 04:00:00
region_1331,73.0,2016-06-01 04:00:00
region_1387,19.0,2016-06-01 04:00:00
region_1388,20.0,2016-06-01 04:00:00
region_1389,12.0,2016-06-01 04:00:00
region_1380,4.0,2016-06-01 04:00:00
region_1386,48.0,2016-06-01 04:00:00
region_1390,11.0,2016-06-01 04:00:00
region_1337,67.0,2016-06-01 04:00:00
region_1376,1.0,2016-06-01 04:00:00
region_1339,4.0,2016-06-01 04:00:00
region_1338,36.0,2016-06-01 04:00:00
region_1336,75.0,2016-06-01 04:00:00
region_1335,163.0,2016-06-01 04:00:00
region_1334,651.0,2016-06-01 04:00:00
region_1333,760.0,2016-06-01 04:00:00
region_1332,444.0,2016-06-01 04:00:00
region_1426,0.0,2016-06-01 04:00:00
region_1377,2.0,2016-06-01 04:00:00
region_1431,12.0,2016-06-01 04:00:00
region_1530,7.0,2016-06-01 04:00:00
region_1435,8.0,2016-06-01 04:00:00
region_2168,58.0,2016-06-01 04:00:00
region_2119,25.0,2016-06-01 04:00:00
region_2118,79.0,2016-06-01 04:00:00
region_2069,13.0,2016-06-01 04:00:00
region_2068,103.0,2016-06-01 04:00:00
